Variable Region Level Season FracMeanError
vas nino34 surface DJF 0.7512818330494337
vas southmid surface MAM 0.7258282753766344
vas southmid surface JJA 0.8784553358818442
vas southmid surface SON 0.6735830604700703
vas southmid surface DJF 0.5732148091736493
vas antarctic surface MAM 0.659762684911597
vas antarctic surface JJA 0.6454139906979598
vas antarctic surface SON 0.6429989035333531
vas antarctic surface DJF 0.6679348195493647
ua arctic 300hPa MAM 0.8628491110352602
ua arctic 300hPa JJA 0.8080799714623697
ua arctic 300hPa SON 0.7248158207965973
ua arctic 300hPa DJF 0.847367722473119
ua northmid 300hPa MAM 1.010618672481012
ua northmid 300hPa JJA 1.0475338503349332
ua northmid 300hPa SON 0.6248272970031192
ua northmid 300hPa DJF 0.7536219017656914
ua tropics 300hPa MAM 0.9031551828413608
ua tropics 300hPa JJA 0.6156944289604751
ua tropics 300hPa SON 0.6713668750326036
ua tropics 300hPa DJF 0.8310965730612987
ua nino34 300hPa MAM 0.641948853305653
ua nino34 300hPa JJA 0.3258662016225564
ua nino34 300hPa SON 0.7677523792578536
ua nino34 300hPa DJF 0.733050004168137
ua southmid 300hPa MAM 0.8729771088713496
ua southmid 300hPa JJA 1.000143125567402
ua southmid 300hPa SON 1.2777595873478982
ua southmid 300hPa DJF 0.6686510210723292
ua antarctic 300hPa MAM 0.7576394874394657
ua antarctic 300hPa JJA 0.8384894191030472
ua antarctic 300hPa SON 1.0528002813002881
ua antarctic 300hPa DJF 0.7793889241178841
zg arctic 500hPa MAM 0.5967738750865637
zg arctic 500hPa JJA 0.4324365326281582
zg arctic 500hPa SON 0.6806365330778467
zg arctic 500hPa DJF 0.3865549898758653
zg northmid 500hPa MAM 0.7019754129052062
zg northmid 500hPa JJA 0.3488402361818953
zg northmid 500hPa SON 0.2941664502804588
zg northmid 500hPa DJF 0.7199657346850047
zg tropics 500hPa MAM 0.642270759187382
zg tropics 500hPa JJA 0.5959491420017528
zg tropics 500hPa SON 0.3794238919027969
zg tropics 500hPa DJF 0.7562898750795048
zg nino34 500hPa MAM 0.8302594022971426
zg nino34 500hPa JJA 0.6797077433126258
zg nino34 500hPa SON 0.4697647125457894
zg nino34 500hPa DJF 0.8782327539101278
zg southmid 500hPa MAM 0.611285447703802
zg southmid 500hPa JJA 1.446117756084463
zg southmid 500hPa SON 1.3884816304129015
zg southmid 500hPa DJF 0.47633676988615065
zg antarctic 500hPa MAM 0.7538473137219976
zg antarctic 500hPa JJA 0.8073489384934461
zg antarctic 500hPa SON 0.5226639222444093
zg antarctic 500hPa DJF 0.29540954566739724
zos arctic surface MAM 0.8354531983919361
zos arctic surface JJA 0.42458144502009504
zos arctic surface SON 0.5775932838887883
zos arctic surface DJF 0.7209096363013553
zos northmid surface MAM 0.8707135560836448
zos northmid surface JJA 0.865769885681945
zos northmid surface SON 0.8935694463438594
zos northmid surface DJF 0.8887233728910279
zos tropics surface MAM 0.8213210400342988
zos tropics surface JJA 0.8092950970550397
zos tropics surface SON 0.8427790275697425
zos tropics surface DJF 0.8357858812782418
zos nino34 surface MAM 1.0011786739574717
zos nino34 surface JJA 1.3239266447622389
zos nino34 surface SON 1.4377933624834893
zos nino34 surface DJF 1.3432555726671664
zos southmid surface MAM 0.7372296340045222
zos southmid surface JJA 0.7652173187885775
zos southmid surface SON 0.7551284645630147
zos southmid surface DJF 0.759957056489886
zos antarctic surface MAM 1.3595484103862334
zos antarctic surface JJA 1.0454036527878101
zos antarctic surface SON 1.2352890305288755
zos antarctic surface DJF 1.4304053293855
mlotst arctic surface MAM 0.7368507486237306
mlotst arctic surface JJA 0.4800345891571833
mlotst arctic surface SON 0.37198500953738634
mlotst arctic surface DJF 0.7205621591122691
mlotst northmid surface MAM 0.7202927447512191
mlotst northmid surface JJA 0.6240044956629773
mlotst northmid surface SON 0.7035918901324572
mlotst northmid surface DJF 0.7529568742829987
mlotst tropics surface MAM 0.8129626833053535
mlotst tropics surface JJA 0.7569778928564646
mlotst tropics surface SON 0.8287738821181022
mlotst tropics surface DJF 0.6262239139165693
mlotst nino34 surface MAM 0.34546599530457384
mlotst nino34 surface JJA 0.5714890706904902
mlotst nino34 surface SON 0.5248029077465013
mlotst nino34 surface DJF 0.3322840585491035
mlotst southmid surface MAM 0.3785310463693865
mlotst southmid surface JJA 0.6041552210202868
mlotst southmid surface SON 0.7621528393506758
mlotst southmid surface DJF 0.6303271162834687
mlotst antarctic surface MAM 1.3999329641342855
mlotst antarctic surface JJA 0.932474319203661
mlotst antarctic surface SON 0.8438399825916661
mlotst antarctic surface DJF 2.520443972707123
thetao arctic 10m MAM 1.0217459175391463
thetao arctic 10m JJA 0.9119519834718981
thetao arctic 10m SON 0.6718916095392664
thetao arctic 10m DJF 0.9502184044797584
thetao northmid 10m MAM 1.27460504529722
thetao northmid 10m JJA 0.8238115025366642
thetao northmid 10m SON 0.702987514568379
thetao northmid 10m DJF 1.1340424508221512
thetao tropics 10m MAM 1.3535389561077948
thetao tropics 10m JJA 1.0098314078929134
thetao tropics 10m SON 1.0203071322048136
thetao tropics 10m DJF 1.0951077209150342
thetao nino34 10m MAM 1.9268577960357778
thetao nino34 10m JJA 0.49333071026590797
thetao nino34 10m SON 0.59361796325347
thetao nino34 10m DJF 1.4598714497168361
thetao southmid 10m MAM 0.582143386916692
thetao southmid 10m JJA 0.8294295939953953
thetao southmid 10m SON 0.9546195328011671
thetao southmid 10m DJF 0.6288880126516669
thetao antarctic 10m MAM 0.554091455207018
thetao antarctic 10m JJA 0.8870062655654289
thetao antarctic 10m SON 1.0425272187962997
thetao antarctic 10m DJF 0.5402517164437433
thetao arctic 100m MAM 0.8038555602521062
thetao arctic 100m JJA 0.6481314990048899
thetao arctic 100m SON 0.6448789286368323
thetao arctic 100m DJF 0.7050334228972693
thetao northmid 100m MAM 0.8783312918737572
thetao northmid 100m JJA 0.8938733931142654
thetao northmid 100m SON 0.9235220484584412
thetao northmid 100m DJF 0.838575689112772
thetao tropics 100m MAM 0.7906813694130594
thetao tropics 100m JJA 0.9209262837861618
thetao tropics 100m SON 0.8895023739935844
thetao tropics 100m DJF 0.7196759199471429
thetao nino34 100m MAM 0.6690054576681361
thetao nino34 100m JJA 0.9847208374285125
thetao nino34 100m SON 0.651154357810903
thetao nino34 100m DJF 0.6011170259960126
thetao southmid 100m MAM 0.6702762171515608
thetao southmid 100m JJA 0.7687124676674446
thetao southmid 100m SON 0.8554724455547
thetao southmid 100m DJF 0.6906920563096163
thetao antarctic 100m MAM 0.9500274085291796
thetao antarctic 100m JJA 1.169947163540255
thetao antarctic 100m SON 1.3681176198728267
thetao antarctic 100m DJF 1.1279845949627387
thetao arctic 1000m MAM 0.07592037109638401
thetao arctic 1000m JJA 0.07531627656587152
thetao arctic 1000m SON 0.07496382511277916
thetao arctic 1000m DJF 0.07684035933856002
thetao northmid 1000m MAM 0.1003082114581851
thetao northmid 1000m JJA 0.10527993936934238
thetao northmid 1000m SON 0.11141114693693362
thetao northmid 1000m DJF 0.10182441747234905
thetao tropics 1000m MAM 0.07088534347393895
thetao tropics 1000m JJA 0.07326169386545014
thetao tropics 1000m SON 0.07886420931784544
thetao tropics 1000m DJF 0.0723392696989921
thetao nino34 1000m MAM 0.04893581064178251
thetao nino34 1000m JJA 0.04191618367035876
thetao nino34 1000m SON 0.05168762066661789
thetao nino34 1000m DJF 0.06125261401880424
thetao southmid 1000m MAM 0.1913947423265233
thetao southmid 1000m JJA 0.20138621663960665
thetao southmid 1000m SON 0.21374881722587863
thetao southmid 1000m DJF 0.18934557969709406
thetao antarctic 1000m MAM 0.1823145908960695
thetao antarctic 1000m JJA 0.18523716875145044
thetao antarctic 1000m SON 0.20930989296145405
thetao antarctic 1000m DJF 0.1743950989781742
so arctic 10m MAM 0.9713672542319307
so arctic 10m JJA 0.7287387478469768
so arctic 10m SON 0.6826002458478578
so arctic 10m DJF 0.9138952501760939
so northmid 10m MAM 0.6338757366277122
so northmid 10m JJA 0.7412395929887368
so northmid 10m SON 0.8385700869148127
so northmid 10m DJF 0.638833472564264
so tropics 10m MAM 0.8219543962630067
so tropics 10m JJA 0.8016204136305305
so tropics 10m SON 0.7270029219224303
so tropics 10m DJF 0.7224678926209532
so nino34 10m MAM 0.48137754206051875
so nino34 10m JJA 0.5659944094300321
so nino34 10m SON 0.9350671085707932
so nino34 10m DJF 0.5622301207631154
