Variable Region Level Season FracMeanError
vas nino34 surface DJF 0.7839441164751623
vas southmid surface MAM 0.7058741747975178
vas southmid surface JJA 0.7981120262843308
vas southmid surface SON 0.6673566373682955
vas southmid surface DJF 0.5630871498153192
vas antarctic surface MAM 0.6944252711191231
vas antarctic surface JJA 0.6523045419637101
vas antarctic surface SON 0.6590166721038634
vas antarctic surface DJF 0.6622811995568001
ua arctic 300hPa MAM 0.8674048118579857
ua arctic 300hPa JJA 0.8625651585972675
ua arctic 300hPa SON 0.8939365480536572
ua arctic 300hPa DJF 0.6196279265185122
ua northmid 300hPa MAM 0.9998373498155163
ua northmid 300hPa JJA 1.0942097405175781
ua northmid 300hPa SON 0.5633899960539331
ua northmid 300hPa DJF 0.6552034800666449
ua tropics 300hPa MAM 0.9333590772677304
ua tropics 300hPa JJA 0.5681530812453103
ua tropics 300hPa SON 0.5632518721121378
ua tropics 300hPa DJF 0.8553997247865384
ua nino34 300hPa MAM 0.41906267789379853
ua nino34 300hPa JJA 0.30487874154969546
ua nino34 300hPa SON 0.5115768050989032
ua nino34 300hPa DJF 0.47027864787547397
ua southmid 300hPa MAM 0.8781699568324628
ua southmid 300hPa JJA 0.8803541110228186
ua southmid 300hPa SON 1.2879437640406002
ua southmid 300hPa DJF 0.7656073843995888
ua antarctic 300hPa MAM 0.88561552848821
ua antarctic 300hPa JJA 0.8481760876005109
ua antarctic 300hPa SON 1.0782035157598542
ua antarctic 300hPa DJF 0.8376918015746236
zg arctic 500hPa MAM 1.6324253719263535
zg arctic 500hPa JJA 0.9204031198448235
zg arctic 500hPa SON 0.4082115572795419
zg arctic 500hPa DJF 1.2420332148075734
zg northmid 500hPa MAM 1.3822875053033945
zg northmid 500hPa JJA 0.6615833197450736
zg northmid 500hPa SON 0.900609699026354
zg northmid 500hPa DJF 1.2493438189130504
zg tropics 500hPa MAM 1.717771017667277
zg tropics 500hPa JJA 1.5927121064537941
zg tropics 500hPa SON 1.4055060925222964
zg tropics 500hPa DJF 1.8201669835512724
zg nino34 500hPa MAM 2.0232957042084694
zg nino34 500hPa JJA 1.7841937482929826
zg nino34 500hPa SON 1.6184390796013062
zg nino34 500hPa DJF 2.1127851526990167
zg southmid 500hPa MAM 1.2313934220576215
zg southmid 500hPa JJA 2.169012368450798
zg southmid 500hPa SON 2.1826039413865828
zg southmid 500hPa DJF 1.2634744206418482
zg antarctic 500hPa MAM 1.0030702685729005
zg antarctic 500hPa JJA 1.007186989664997
zg antarctic 500hPa SON 0.6134375108748761
zg antarctic 500hPa DJF 0.24900911352157212
zos arctic surface MAM 0.8279309246466503
zos arctic surface JJA 0.43895407545611054
zos arctic surface SON 0.5517691939687526
zos arctic surface DJF 0.7304910528631021
zos northmid surface MAM 0.8932315792590655
zos northmid surface JJA 0.8833279970420345
zos northmid surface SON 0.9174344990678414
zos northmid surface DJF 0.903401423130168
zos tropics surface MAM 0.8295283567717405
zos tropics surface JJA 0.821843680342641
zos tropics surface SON 0.8577222081094203
zos tropics surface DJF 0.8508062567940085
zos nino34 surface MAM 1.0118245614197956
zos nino34 surface JJA 1.3769494841584686
zos nino34 surface SON 1.536530464860206
zos nino34 surface DJF 1.3451420462530483
zos southmid surface MAM 0.7325370103809822
zos southmid surface JJA 0.7642374470457585
zos southmid surface SON 0.7470618304189737
zos southmid surface DJF 0.752089581377179
zos antarctic surface MAM 1.5452564873926864
zos antarctic surface JJA 1.5452846326113323
zos antarctic surface SON 1.5058435879526595
zos antarctic surface DJF 1.6372170444829741
mlotst arctic surface MAM 0.7376505968957211
mlotst arctic surface JJA 0.47736834085378727
mlotst arctic surface SON 0.3709083212095105
mlotst arctic surface DJF 0.7505406048829005
mlotst northmid surface MAM 0.9882552683067178
mlotst northmid surface JJA 0.5359611510571208
mlotst northmid surface SON 0.6329507687474509
mlotst northmid surface DJF 0.988621319239809
