run,year,tree_pct_gt50N,grass_pct_gt50N
"Spin-up (HTESSEL, no feedback)",3849,20.14688699716241,36.03738941745952
06 Baseline (coupled),1379,16.82523785678518,40.81121682523786
"06V (coupled, aggressive)",1379,11.367050575863797,39.75963945918878
