Region,Baseline,06A meltpond-alb,06D pond-combo,06H pond+rvice,06O 1hcpl+mospp,06T +kpplow,06V aggressive
antarctic,0.734648828060529,0.7339957386626709,0.7304367843681073,0.7304163834594627,0.7412487314387358,0.7503898374341671,0.7678553073587906
arctic,0.6963236504907643,0.7035785261281124,0.7117291192260284,0.7289255973561733,0.7545417571072762,0.7392688570700097,0.7765819333223657
nino34,0.8508977567277386,0.8554262635278959,0.8694273332246462,0.8691513624022372,0.8756791770400724,0.883058282188242,0.9164981618770178
northmid,0.7372279164411545,0.7376429358166258,0.7439578008840413,0.7438715513870765,0.764811218084461,0.7619703228685145,0.8013750095605917
southmid,0.7125862607757351,0.7176584159451815,0.7115277546568245,0.7308088544869669,0.7380738982263141,0.7456351996051308,0.7687989583271708
tropics,0.7427407068133861,0.7443862705019784,0.7404513577576458,0.7464715597057366,0.7652178181298175,0.7632960250767363,0.7924536079506491
