Variable,Baseline,06A meltpond-alb,06D pond-combo,06H pond+rvice,06O 1hcpl+mospp,06T +kpplow,06V aggressive
siconc,0.9272432166411653,0.9098628115384255,0.8476178383454921,0.8485488317005283,0.8224472478108055,0.8169626328510621,0.8689405615783766
tas,1.1019882373360057,1.116917326230905,1.1424655147024014,1.2426799912066746,1.3265901919171783,1.343955513119102,1.550973544577151
clt,0.8526115729232457,0.8489885490109653,0.8488391860688315,0.8391738054741552,0.8198016298644011,0.817939896244992,0.7986837439121235
pr,1.0214248539778465,1.0301877038484597,1.0213954751160272,1.0183035852482678,1.0425656371214058,1.0419474928161325,1.0347833795383845
rlut,0.8837803475352661,0.9260977735417378,0.9249273621558859,0.919023238080543,1.041694800413756,1.0225598617642613,1.089364986898511
uas,0.7636952882140385,0.7743960457146671,0.7576443552882602,0.7530168704448793,0.7557723586191717,0.7710409141118064,0.7723661136097922
vas,0.7600772391099605,0.7754387919206572,0.7586847336618687,0.7600663378685352,0.7712203431289862,0.7708121121646666,0.7769541923849462
ua,0.7684640362954248,0.766455973361012,0.7570920023097848,0.7645913293397326,0.7567123909981327,0.7560154262644753,0.7572481442415464
zg,0.7934608583054721,0.7937875693105528,0.8395621199750499,0.9458390234779189,1.0565968378552868,1.0472213468534524,1.2517838473738792
zos,0.886419195840658,0.8808532620741231,0.8881883268286184,0.8665428860209268,0.886519743511844,0.8902144854000184,0.8444493034145895
mlotst,0.6090283849329573,0.6251722082433506,0.6291718727298096,0.6413700165193779,0.7751588422640904,0.785136036858343,0.8069176926872853
thetao,0.6773261083761641,0.6698807884403111,0.6803320137307448,0.6608774760607009,0.6376546426572615,0.6376546426572615,0.6480053216040591
so,0.44028031447534643,0.4360449649030078,0.44299225374761647,0.4408174960817408,0.39269266622467625,0.39269266622467625,0.3917006186610262
