Variable Region Level Season AbsMeanError
ua arctic 300hPa JJA 1.4979928199388046
ua arctic 300hPa SON 1.1083238850565662
ua arctic 300hPa DJF 1.0309146600493415
ua northmid 300hPa MAM 2.336719638706022
ua northmid 300hPa JJA 2.601842661987189
ua northmid 300hPa SON 1.2740852484693657
ua northmid 300hPa DJF 2.1388202499638354
ua tropics 300hPa MAM 2.5714196884087603
ua tropics 300hPa JJA 1.6662246045450113
ua tropics 300hPa SON 1.2825256125818354
ua tropics 300hPa DJF 2.227549473321762
ua nino34 300hPa MAM 1.1897047105036527
ua nino34 300hPa JJA 0.7445974614839272
ua nino34 300hPa SON 0.8383954563243277
ua nino34 300hPa DJF 1.8845286893668236
ua southmid 300hPa MAM 2.296336547059152
ua southmid 300hPa JJA 2.074219698655175
ua southmid 300hPa SON 3.163331201962599
ua southmid 300hPa DJF 2.1637634130134744
ua antarctic 300hPa MAM 1.4963813502541705
ua antarctic 300hPa JJA 1.3105798181474329
ua antarctic 300hPa SON 1.5520270020345244
ua antarctic 300hPa DJF 1.5351037915233672
zg arctic 500hPa MAM 54.78236
zg arctic 500hPa JJA 39.4994
zg arctic 500hPa SON 14.014706
zg arctic 500hPa DJF 51.55905
zg northmid 500hPa MAM 57.553127
zg northmid 500hPa JJA 30.2255
zg northmid 500hPa SON 36.21422
zg northmid 500hPa DJF 56.65626
zg tropics 500hPa MAM 47.971107
zg tropics 500hPa JJA 48.166744
zg tropics 500hPa SON 40.897526
zg tropics 500hPa DJF 50.80772
zg nino34 500hPa MAM 50.900093
zg nino34 500hPa JJA 47.79104
zg nino34 500hPa SON 41.553837
zg nino34 500hPa DJF 53.022457
zg southmid 500hPa MAM 48.847847
zg southmid 500hPa JJA 76.002266
zg southmid 500hPa SON 70.67659
zg southmid 500hPa DJF 49.07322
zg antarctic 500hPa MAM 61.52882
zg antarctic 500hPa JJA 70.47829
zg antarctic 500hPa SON 48.34706
zg antarctic 500hPa DJF 25.490383
zos arctic surface MAM 0.026020123735210322
zos arctic surface JJA 0.022244972763048827
zos arctic surface SON 0.023591104393146663
zos arctic surface DJF 0.022832251307222745
zos northmid surface MAM 0.03540900889625866
zos northmid surface JJA 0.0366886075738065
zos northmid surface SON 0.03907768043975445
zos northmid surface DJF 0.03553622974729303
zos tropics surface MAM 0.022704792966532755
zos tropics surface JJA 0.023006048790714214
zos tropics surface SON 0.02455563129302222
zos tropics surface DJF 0.021824604224193748
zos nino34 surface MAM 0.03110254580209653
zos nino34 surface JJA 0.04453700044838091
zos nino34 surface SON 0.05052862808167935
zos nino34 surface DJF 0.03763677608430386
zos southmid surface MAM 0.03541405048594819
zos southmid surface JJA 0.03409020935508059
zos southmid surface SON 0.034200103715137334
zos southmid surface DJF 0.034829945574749714
zos antarctic surface MAM 0.02892063542484969
zos antarctic surface JJA 0.024682538669625505
zos antarctic surface SON 0.034121844887430385
zos antarctic surface DJF 0.030173908853776195
mlotst arctic surface MAM 36.41098
mlotst arctic surface JJA 4.03826
mlotst arctic surface SON 5.461856
mlotst arctic surface DJF 32.694904
mlotst northmid surface MAM 57.436527
mlotst northmid surface JJA 2.5526366
mlotst northmid surface SON 7.268928
mlotst northmid surface DJF 56.368652
mlotst tropics surface MAM 7.3340106
mlotst tropics surface JJA 8.031242
mlotst tropics surface SON 8.492119
mlotst tropics surface DJF 6.4293838
mlotst nino34 surface MAM 5.012401
mlotst nino34 surface JJA 9.494197
mlotst nino34 surface SON 10.190826
mlotst nino34 surface DJF 6.6442504
mlotst southmid surface MAM 8.053421
mlotst southmid surface JJA 34.458687
mlotst southmid surface SON 52.879673
mlotst southmid surface DJF 8.516307
mlotst antarctic surface MAM 57.52354
mlotst antarctic surface JJA 136.20157
mlotst antarctic surface SON 154.98799
mlotst antarctic surface DJF 33.38671
thetao arctic 10m MAM 0.7197428
thetao arctic 10m JJA 0.8407437
thetao arctic 10m SON 0.46319658
thetao arctic 10m DJF 0.6888627
thetao arctic 100m MAM 0.6301571
thetao arctic 100m JJA 0.45554093
thetao arctic 100m SON 0.44677907
thetao arctic 100m DJF 0.48074865
thetao arctic 1000m MAM 0.08943003
thetao arctic 1000m JJA 0.087893434
thetao arctic 1000m SON 0.08628982
thetao arctic 1000m DJF 0.08948851
thetao northmid 10m MAM 1.8550175
thetao northmid 10m JJA 1.4242578
thetao northmid 10m SON 0.97911006
thetao northmid 10m DJF 1.569586
thetao northmid 100m MAM 1.323712
thetao northmid 100m JJA 1.3909171
thetao northmid 100m SON 1.5338864
thetao northmid 100m DJF 1.3156661
thetao northmid 1000m MAM 0.1476785
thetao northmid 1000m JJA 0.15390438
thetao northmid 1000m SON 0.1610833
thetao northmid 1000m DJF 0.14366916
thetao tropics 10m MAM 1.0421485
thetao tropics 10m JJA 0.7209316
thetao tropics 10m SON 0.67479235
thetao tropics 10m DJF 0.8757721
thetao tropics 100m MAM 1.2590673
thetao tropics 100m JJA 1.4292834
thetao tropics 100m SON 1.3065785
thetao tropics 100m DJF 1.1740113
thetao tropics 1000m MAM 0.09425725
thetao tropics 1000m JJA 0.09446061
thetao tropics 1000m SON 0.10162271
thetao tropics 1000m DJF 0.0954199
thetao nino34 10m MAM 1.9844192
thetao nino34 10m JJA 0.9921702
thetao nino34 10m SON 0.88721836
thetao nino34 10m DJF 1.717941
thetao nino34 100m MAM 1.3149172
thetao nino34 100m JJA 1.8015682
thetao nino34 100m SON 0.86774087
thetao nino34 100m DJF 1.4919425
thetao nino34 1000m MAM 0.04537048
thetao nino34 1000m JJA 0.039242677
thetao nino34 1000m SON 0.05000856
thetao nino34 1000m DJF 0.06056753
thetao southmid 10m MAM 0.7539212
thetao southmid 10m JJA 0.8434137
thetao southmid 10m SON 0.95608574
thetao southmid 10m DJF 0.73216236
thetao southmid 100m MAM 0.83738106
thetao southmid 100m JJA 0.8900386
thetao southmid 100m SON 0.9639368
thetao southmid 100m DJF 0.8354486
thetao southmid 1000m MAM 0.2084605
thetao southmid 1000m JJA 0.21926945
thetao southmid 1000m SON 0.22731712
thetao southmid 1000m DJF 0.20252067
thetao antarctic 10m MAM 0.5524353
thetao antarctic 10m JJA 0.57147086
thetao antarctic 10m SON 0.49372804
thetao antarctic 10m DJF 0.6884712
thetao antarctic 100m MAM 0.7816316
thetao antarctic 100m JJA 0.9884715
thetao antarctic 100m SON 1.0429856
thetao antarctic 100m DJF 0.8521995
thetao antarctic 1000m MAM 0.12775366
thetao antarctic 1000m JJA 0.12458881
thetao antarctic 1000m SON 0.13596782
thetao antarctic 1000m DJF 0.12247259
so arctic 10m MAM 1.2936112550168548
so arctic 10m JJA 1.1342059010135237
so arctic 10m SON 0.9781284440629909
so arctic 10m DJF 1.3676198067478063
so arctic 100m MAM 0.27534477280128805
so arctic 100m JJA 0.28550575182184207
so arctic 100m SON 0.32353219224210006
so arctic 100m DJF 0.2734799381847101
so arctic 1000m MAM 0.0142276866596699
so arctic 1000m JJA 0.014323869013703758
so arctic 1000m SON 0.01180112510506719
so arctic 1000m DJF 0.016705235298845978
so northmid 10m MAM 0.49540012296722097
so northmid 10m JJA 0.5832448424935416
so northmid 10m SON 0.637191391117744
so northmid 10m DJF 0.4934520455565526
so northmid 100m MAM 0.28958030041004
so northmid 100m JJA 0.2882360991411978
so northmid 100m SON 0.28459130725407483
so northmid 100m DJF 0.2569293904197205
so northmid 1000m MAM 0.02439643436599852
so northmid 1000m JJA 0.025928058209720203
so northmid 1000m SON 0.028745294695779366
so northmid 1000m DJF 0.025033871829799936
so tropics 10m MAM 0.43222547862206956
so tropics 10m JJA 0.4127082183579324
so tropics 10m SON 0.36857133662993086
so tropics 10m DJF 0.361905766064293
so tropics 100m MAM 0.14678970926163196
so tropics 100m JJA 0.1617642789731609
so tropics 100m SON 0.16754504257770209
so tropics 100m DJF 0.13539881126746658
