Variable Region Level Season AbsMeanError
ua arctic 300hPa JJA 1.278717372956532
ua arctic 300hPa SON 1.2518286661807363
ua arctic 300hPa DJF 0.8528782957246711
ua northmid 300hPa MAM 2.479607588899886
ua northmid 300hPa JJA 2.5882324790171505
ua northmid 300hPa SON 1.1281802546918396
ua northmid 300hPa DJF 2.1144579797774283
ua tropics 300hPa MAM 2.649841320485665
ua tropics 300hPa JJA 1.7282545952754746
ua tropics 300hPa SON 1.4047714723030795
ua tropics 300hPa DJF 2.3973575913621348
ua nino34 300hPa MAM 1.201227952182529
ua nino34 300hPa JJA 0.7018010701578078
ua nino34 300hPa SON 1.0610427821883037
ua nino34 300hPa DJF 1.9206891671639021
ua southmid 300hPa MAM 2.3369409336328237
ua southmid 300hPa JJA 2.455625182622167
ua southmid 300hPa SON 3.3074392678752496
ua southmid 300hPa DJF 1.9893287852943562
ua antarctic 300hPa MAM 1.4274259498752824
ua antarctic 300hPa JJA 1.3085717600284643
ua antarctic 300hPa SON 1.6578195276846759
ua antarctic 300hPa DJF 1.3105804917053365
zg arctic 500hPa MAM 48.19057
zg arctic 500hPa JJA 32.07593
zg arctic 500hPa SON 11.583927
zg arctic 500hPa DJF 46.272655
zg northmid 500hPa MAM 50.092842
zg northmid 500hPa JJA 19.725569
zg northmid 500hPa SON 25.46035
zg northmid 500hPa DJF 43.216923
zg tropics 500hPa MAM 40.65277
zg tropics 500hPa JJA 39.391994
zg tropics 500hPa SON 32.550667
zg tropics 500hPa DJF 44.918472
zg nino34 500hPa MAM 43.57215
zg nino34 500hPa JJA 39.663364
zg nino34 500hPa SON 33.93304
zg nino34 500hPa DJF 47.322647
zg southmid 500hPa MAM 40.103703
zg southmid 500hPa JJA 69.72173
zg southmid 500hPa SON 61.67262
zg southmid 500hPa DJF 38.748867
zg antarctic 500hPa MAM 54.156406
zg antarctic 500hPa JJA 55.82165
zg antarctic 500hPa SON 46.449802
zg antarctic 500hPa DJF 24.415577
zos arctic surface MAM 0.02665747308014041
zos arctic surface JJA 0.023814916654100404
zos arctic surface SON 0.025298647785637958
zos arctic surface DJF 0.02436169249398946
zos northmid surface MAM 0.034278564156614316
zos northmid surface JJA 0.03578301561377752
zos northmid surface SON 0.037949760655691486
zos northmid surface DJF 0.03452583300284827
zos tropics surface MAM 0.023176232152203
zos tropics surface JJA 0.02281446291395512
zos tropics surface SON 0.024760995840785654
zos tropics surface DJF 0.02266218134992894
zos nino34 surface MAM 0.03374122802843651
zos nino34 surface JJA 0.04109136943109334
zos nino34 surface SON 0.045100511437257136
zos nino34 surface DJF 0.0387228674586614
zos southmid surface MAM 0.03571931367746991
zos southmid surface JJA 0.03393814625955987
zos southmid surface SON 0.034505346130555274
zos southmid surface DJF 0.0354878841436754
zos antarctic surface MAM 0.029688371805303
zos antarctic surface JJA 0.02640616823105468
zos antarctic surface SON 0.0352636655653306
zos antarctic surface DJF 0.029337943565434423
mlotst arctic surface MAM 38.414894
mlotst arctic surface JJA 3.8377533
mlotst arctic surface SON 5.650663
mlotst arctic surface DJF 32.84253
mlotst northmid surface MAM 46.72361
mlotst northmid surface JJA 2.7246659
mlotst northmid surface SON 7.747757
mlotst northmid surface DJF 47.224186
mlotst tropics surface MAM 7.3902497
mlotst tropics surface JJA 8.042573
mlotst tropics surface SON 8.704967
mlotst tropics surface DJF 6.5034447
mlotst nino34 surface MAM 4.9018574
mlotst nino34 surface JJA 9.105395
mlotst nino34 surface SON 9.361318
mlotst nino34 surface DJF 6.627945
mlotst southmid surface MAM 7.9775434
mlotst southmid surface JJA 33.18019
mlotst southmid surface SON 49.90952
mlotst southmid surface DJF 8.469274
mlotst antarctic surface MAM 49.566227
mlotst antarctic surface JJA 124.07429
mlotst antarctic surface SON 149.2065
mlotst antarctic surface DJF 31.807112
thetao arctic 10m MAM 0.7627818
thetao arctic 10m JJA 0.8229262
thetao arctic 10m SON 0.5068131
thetao arctic 10m DJF 0.69974005
thetao arctic 100m MAM 0.6298472
thetao arctic 100m JJA 0.46108815
thetao arctic 100m SON 0.46060228
thetao arctic 100m DJF 0.4891486
thetao arctic 1000m MAM 0.08796399
thetao arctic 1000m JJA 0.086797535
thetao arctic 1000m SON 0.08845147
thetao arctic 1000m DJF 0.090196
thetao northmid 10m MAM 1.7120534
thetao northmid 10m JJA 1.3027967
thetao northmid 10m SON 1.0197456
thetao northmid 10m DJF 1.6595501
thetao northmid 100m MAM 1.2197665
thetao northmid 100m JJA 1.2795066
thetao northmid 100m SON 1.4360764
thetao northmid 100m DJF 1.2630097
thetao northmid 1000m MAM 0.13814542
thetao northmid 1000m JJA 0.14210626
thetao northmid 1000m SON 0.1474019
thetao northmid 1000m DJF 0.1390462
thetao tropics 10m MAM 1.0149348
thetao tropics 10m JJA 0.7816194
thetao tropics 10m SON 0.69630945
thetao tropics 10m DJF 0.835944
thetao tropics 100m MAM 1.2476947
thetao tropics 100m JJA 1.4710362
thetao tropics 100m SON 1.411572
thetao tropics 100m DJF 1.1914089
thetao tropics 1000m MAM 0.09415834
thetao tropics 1000m JJA 0.09578569
thetao tropics 1000m SON 0.103190795
thetao tropics 1000m DJF 0.09568725
thetao nino34 10m MAM 1.9150963
thetao nino34 10m JJA 0.9097913
thetao nino34 10m SON 0.41359648
thetao nino34 10m DJF 1.557088
thetao nino34 100m MAM 1.2458351
thetao nino34 100m JJA 1.9344192
thetao nino34 100m SON 1.3435776
thetao nino34 100m DJF 1.3049016
thetao nino34 1000m MAM 0.046231024
thetao nino34 1000m JJA 0.03842821
thetao nino34 1000m SON 0.044458322
thetao nino34 1000m DJF 0.056455366
thetao southmid 10m MAM 0.7324703
thetao southmid 10m JJA 0.84519076
thetao southmid 10m SON 1.041241
thetao southmid 10m DJF 0.7468409
thetao southmid 100m MAM 0.8298427
thetao southmid 100m JJA 0.85338724
thetao southmid 100m SON 0.9478199
thetao southmid 100m DJF 0.8313897
thetao southmid 1000m MAM 0.20710547
thetao southmid 1000m JJA 0.21965219
thetao southmid 1000m SON 0.23087862
thetao southmid 1000m DJF 0.20321745
thetao antarctic 10m MAM 0.53668845
thetao antarctic 10m JJA 0.49037606
thetao antarctic 10m SON 0.4839035
thetao antarctic 10m DJF 0.67493516
thetao antarctic 100m MAM 0.7775269
thetao antarctic 100m JJA 0.9943635
thetao antarctic 100m SON 1.040864
thetao antarctic 100m DJF 0.8452831
thetao antarctic 1000m MAM 0.12710395
thetao antarctic 1000m JJA 0.1238156
thetao antarctic 1000m SON 0.13436373
thetao antarctic 1000m DJF 0.12182657
so arctic 10m MAM 1.3172596873495228
so arctic 10m JJA 1.166421167795978
so arctic 10m SON 1.0268901369272632
so arctic 10m DJF 1.401386772962058
so arctic 100m MAM 0.26868726166463897
so arctic 100m JJA 0.2740261325436303
so arctic 100m SON 0.3123500869213209
so arctic 100m DJF 0.277875259106087
so arctic 1000m MAM 0.014197252075597093
so arctic 1000m JJA 0.014432841735024519
so arctic 1000m SON 0.012073050177854202
so arctic 1000m DJF 0.016774252147117485
so northmid 10m MAM 0.4984333024190986
so northmid 10m JJA 0.5944934055137517
so northmid 10m SON 0.6287523334988823
so northmid 10m DJF 0.48986074788786815
so northmid 100m MAM 0.2660109350740933
so northmid 100m JJA 0.26184832977848427
so northmid 100m SON 0.26657579593735703
so northmid 100m DJF 0.25084801104785204
so northmid 1000m MAM 0.02309777141440862
so northmid 1000m JJA 0.024260024429002814
so northmid 1000m SON 0.02678476202947695
so northmid 1000m DJF 0.024326661163226293
so tropics 10m MAM 0.43034013725881043
so tropics 10m JJA 0.4000652215603141
so tropics 10m SON 0.3686204253025822
so tropics 10m DJF 0.3597155012667605
so tropics 100m MAM 0.14543356934077167
so tropics 100m JJA 0.1612256890162846
so tropics 100m SON 0.16459281410457338
so tropics 100m DJF 0.13303735955641874
so tropics 1000m MAM 0.01276326674914208
so tropics 1000m JJA 0.013143255542540243
so tropics 1000m SON 0.013530145824575516
so tropics 1000m DJF 0.013559956712406514
so nino34 10m MAM 0.1740860938088335
so nino34 10m JJA 0.2057271591452512
so nino34 10m SON 0.30313886861447636
so nino34 10m DJF 0.19062068581270555
so nino34 100m MAM 0.05852719423375383
so nino34 100m JJA 0.09103644238102238
so nino34 100m SON 0.12817909618689521
so nino34 100m DJF 0.058395300986549374
so nino34 1000m MAM 0.003167616387527043
so nino34 1000m JJA 0.005775160946765053
so nino34 1000m SON 0.0038541955025432153
so nino34 1000m DJF 0.0034821951680184425
so southmid 10m MAM 0.2775986069738782
so southmid 10m JJA 0.2570775908180494
so southmid 10m SON 0.25214080559698826
so southmid 10m DJF 0.2522207428090842
so southmid 100m MAM 0.12813806848505882
so southmid 100m JJA 0.167393181740389
so southmid 100m SON 0.19646746717211608
so southmid 100m DJF 0.14327309226370952
so southmid 1000m MAM 0.031168228041611307
so southmid 1000m JJA 0.031564722693665594
so southmid 1000m SON 0.033267799658596754
so southmid 1000m DJF 0.030468391620073122
so antarctic 10m MAM 0.22587322126806778
so antarctic 10m JJA 0.1885109009073778
so antarctic 10m SON 0.19224012087057904
so antarctic 10m DJF 0.19245020428044252
so antarctic 100m MAM 0.12978437552237268
so antarctic 100m JJA 0.1393501075073493
so antarctic 100m SON 0.12387664012121144
so antarctic 100m DJF 0.11241388960047845
so antarctic 1000m MAM 0.012414490911669402
so antarctic 1000m JJA 0.01172488444810319
so antarctic 1000m SON 0.013347354051780488
so antarctic 1000m DJF 0.01237816485698455
