Variable Region Level Season AbsMeanError
ua arctic 300hPa JJA 1.3913630639499759
ua arctic 300hPa SON 1.2683896325595585
ua arctic 300hPa DJF 0.8812465907953996
ua northmid 300hPa MAM 2.415385231857519
ua northmid 300hPa JJA 2.5200329488786357
ua northmid 300hPa SON 1.2079194037977607
ua northmid 300hPa DJF 1.961062885221092
ua tropics 300hPa MAM 2.5640605500309
ua tropics 300hPa JJA 1.6905694564634364
ua tropics 300hPa SON 1.3043922442694242
ua tropics 300hPa DJF 2.2154177342161097
ua nino34 300hPa MAM 1.3629916173648404
ua nino34 300hPa JJA 0.8716184366147653
ua nino34 300hPa SON 1.2164891612761985
ua nino34 300hPa DJF 1.8712241455284166
ua southmid 300hPa MAM 2.1520169480867564
ua southmid 300hPa JJA 2.1895759450764647
ua southmid 300hPa SON 3.21362407907428
ua southmid 300hPa DJF 2.0687486294749644
ua antarctic 300hPa MAM 1.4797603961878105
ua antarctic 300hPa JJA 1.3168038641358284
ua antarctic 300hPa SON 1.758373034468874
ua antarctic 300hPa DJF 1.4505561625900163
zg arctic 500hPa MAM 52.92695
zg arctic 500hPa JJA 32.431458
zg arctic 500hPa SON 13.516096
zg arctic 500hPa DJF 48.588863
zg northmid 500hPa MAM 53.095875
zg northmid 500hPa JJA 24.406631
zg northmid 500hPa SON 30.911655
zg northmid 500hPa DJF 50.259914
zg tropics 500hPa MAM 43.0852
zg tropics 500hPa JJA 43.092854
zg tropics 500hPa SON 36.01609
zg tropics 500hPa DJF 46.863525
zg nino34 500hPa MAM 45.88732
zg nino34 500hPa JJA 43.128597
zg nino34 500hPa SON 37.002205
zg nino34 500hPa DJF 49.279682
zg southmid 500hPa MAM 40.47546
zg southmid 500hPa JJA 72.50817
zg southmid 500hPa SON 66.0382
zg southmid 500hPa DJF 43.32515
zg antarctic 500hPa MAM 60.360348
zg antarctic 500hPa JJA 62.92349
zg antarctic 500hPa SON 38.58025
zg antarctic 500hPa DJF 15.668162
zos arctic surface MAM 0.02678085105611473
zos arctic surface JJA 0.02173221393377798
zos arctic surface SON 0.02216474758104618
zos arctic surface DJF 0.025352754935261547
zos northmid surface MAM 0.035611327687663376
zos northmid surface JJA 0.0368716857993642
zos northmid surface SON 0.03882840483620554
zos northmid surface DJF 0.03573040934295961
zos tropics surface MAM 0.02316292973818196
zos tropics surface JJA 0.02303342513181667
zos tropics surface SON 0.0248046945937694
zos tropics surface DJF 0.022554503262705968
zos nino34 surface MAM 0.031168543852170313
zos nino34 surface JJA 0.041188084036360186
zos nino34 surface SON 0.04957288702078164
zos nino34 surface DJF 0.038266650403141984
zos southmid surface MAM 0.035637157449282905
zos southmid surface JJA 0.034414581633214446
zos southmid surface SON 0.03446736830865966
zos southmid surface DJF 0.03529490260517176
zos antarctic surface MAM 0.033909940851969765
zos antarctic surface JJA 0.03590489058484735
zos antarctic surface SON 0.04059604347830606
