Variable Region Level Season FracMeanError
vas southmid surface MAM 0.7308154312189423
vas southmid surface JJA 0.8408167192308376
vas southmid surface SON 0.6971869318171537
vas southmid surface DJF 0.5502584952757515
vas antarctic surface MAM 0.6493829866967191
vas antarctic surface JJA 0.6262801235250095
vas antarctic surface SON 0.6403712703079096
vas antarctic surface DJF 0.6459999820549273
ua arctic 300hPa MAM 1.1723350354623008
ua arctic 300hPa JJA 1.0710802227981098
ua arctic 300hPa SON 0.7495026480465593
ua arctic 300hPa DJF 0.714020236801134
ua northmid 300hPa MAM 1.1234921230395631
ua northmid 300hPa JJA 1.1383705655843375
ua northmid 300hPa SON 0.5617942423493417
ua northmid 300hPa DJF 0.6914818813002309
ua tropics 300hPa MAM 0.9333127245363618
ua tropics 300hPa JJA 0.620839772674165
ua tropics 300hPa SON 0.6559617119260871
ua tropics 300hPa DJF 0.7923093877561018
ua nino34 300hPa MAM 0.623042205066144
ua nino34 300hPa JJA 0.3859456164105154
ua nino34 300hPa SON 0.6274733698034674
ua nino34 300hPa DJF 0.6782037885927872
ua southmid 300hPa MAM 0.9671185986774883
ua southmid 300hPa JJA 1.0550563590555673
ua southmid 300hPa SON 1.302253803069048
ua southmid 300hPa DJF 0.7024344441525784
ua antarctic 300hPa MAM 0.7674670778393697
ua antarctic 300hPa JJA 0.8726266582996749
ua antarctic 300hPa SON 1.0428548444213102
ua antarctic 300hPa DJF 0.6305506694137027
zg arctic 500hPa MAM 0.6581001796674875
zg arctic 500hPa JJA 0.595641485843801
zg arctic 500hPa SON 0.5679504566971763
zg arctic 500hPa DJF 0.3829608076125583
zg northmid 500hPa MAM 0.8080128759402775
zg northmid 500hPa JJA 0.344572706878048
zg northmid 500hPa SON 0.3135095748179988
zg northmid 500hPa DJF 0.7164772856184661
zg tropics 500hPa MAM 0.7893315000066475
zg tropics 500hPa JJA 0.6927568942841185
zg tropics 500hPa SON 0.5074650172547535
zg tropics 500hPa DJF 0.9197822397135069
zg nino34 500hPa MAM 0.9893901605726961
zg nino34 500hPa JJA 0.7991031438151127
zg nino34 500hPa SON 0.6265377097423125
zg nino34 500hPa DJF 1.054787017209511
zg southmid 500hPa MAM 0.7623475993244583
zg southmid 500hPa JJA 1.6237942209788403
zg southmid 500hPa SON 1.525469687049332
zg southmid 500hPa DJF 0.6328624133182561
zg antarctic 500hPa MAM 0.7698108800990874
zg antarctic 500hPa JJA 0.799680402633853
zg antarctic 500hPa SON 0.5930357744095379
zg antarctic 500hPa DJF 0.3190805132551178
zos arctic surface MAM 0.8320225434554268
zos arctic surface JJA 0.39545362680881746
zos arctic surface SON 0.5484678864883807
zos arctic surface DJF 0.7155732869342494
zos northmid surface MAM 0.8691503919244317
zos northmid surface JJA 0.8609018270277495
zos northmid surface SON 0.9050818535972814
zos northmid surface DJF 0.8921389224380849
zos tropics surface MAM 0.8477853229989548
zos tropics surface JJA 0.8359008109029111
zos tropics surface SON 0.8776733726333482
zos tropics surface DJF 0.8743980280760926
zos nino34 surface MAM 1.0135305870223705
zos nino34 surface JJA 1.3112889686229732
zos nino34 surface SON 1.4906390025842968
zos nino34 surface DJF 1.396475005040707
zos southmid surface MAM 0.7339184484108818
zos southmid surface JJA 0.768283587939558
zos southmid surface SON 0.7492079941241191
zos southmid surface DJF 0.7531301794473821
zos antarctic surface MAM 1.1871439586776649
zos antarctic surface JJA 0.9523377567797963
zos antarctic surface SON 1.153209450553468
zos antarctic surface DJF 1.2298303688702301
mlotst arctic surface MAM 0.8051875711290924
mlotst arctic surface JJA 0.4814645238192269
mlotst arctic surface SON 0.3695195339387705
mlotst arctic surface DJF 0.8358918337773864
mlotst northmid surface MAM 0.8393185139638969
mlotst northmid surface JJA 0.5994228391396603
mlotst northmid surface SON 0.6802659290586482
mlotst northmid surface DJF 0.8316630905919383
mlotst tropics surface MAM 0.7888760624477535
mlotst tropics surface JJA 0.7689899403123489
mlotst tropics surface SON 0.8426700971486647
mlotst tropics surface DJF 0.627939745164437
mlotst nino34 surface MAM 0.3752190526978646
mlotst nino34 surface JJA 0.564359842852074
mlotst nino34 surface SON 0.5343337041529007
mlotst nino34 surface DJF 0.3982833887666969
mlotst southmid surface MAM 0.38944184887360167
mlotst southmid surface JJA 0.6241310257341267
mlotst southmid surface SON 0.807771942278525
mlotst southmid surface DJF 0.6519863142941376
mlotst antarctic surface MAM 1.4997600978022376
mlotst antarctic surface JJA 1.0993425732320004
mlotst antarctic surface SON 0.9743987812492032
mlotst antarctic surface DJF 2.586449996614271
thetao arctic 10m MAM 0.9641305067124807
thetao arctic 10m JJA 0.9063598414588983
thetao arctic 10m SON 0.719422709859946
thetao arctic 10m DJF 0.9171832414183464
thetao northmid 10m MAM 1.2665924254081724
thetao northmid 10m JJA 0.8225498471560742
thetao northmid 10m SON 0.8019624286256832
thetao northmid 10m DJF 1.1761017064033596
thetao tropics 10m MAM 1.398258604571409
thetao tropics 10m JJA 1.0273609157372434
thetao tropics 10m SON 0.9448291036665645
thetao tropics 10m DJF 1.087106775710847
thetao nino34 10m MAM 2.865678953247921
thetao nino34 10m JJA 1.1234200839328774
thetao nino34 10m SON 0.4831158952345716
thetao nino34 10m DJF 1.8369535776243777
thetao southmid 10m MAM 0.6988824128000072
thetao southmid 10m JJA 0.8049782475560888
thetao southmid 10m SON 0.9506693700803006
thetao southmid 10m DJF 0.6817908985047701
thetao antarctic 10m MAM 0.575438917049981
thetao antarctic 10m JJA 1.0275446668139998
thetao antarctic 10m SON 1.0603558843451544
thetao antarctic 10m DJF 0.5364211478522011
thetao arctic 100m MAM 0.7904190983492695
thetao arctic 100m JJA 0.6168003760421427
thetao arctic 100m SON 0.6299014255609733
thetao arctic 100m DJF 0.6884210465148788
thetao northmid 100m MAM 0.9543599353970783
thetao northmid 100m JJA 0.9467985494274588
thetao northmid 100m SON 0.9602914825894984
thetao northmid 100m DJF 0.8755632958672432
thetao tropics 100m MAM 0.8298606929457447
thetao tropics 100m JJA 0.9209601353526687
thetao tropics 100m SON 0.8569194025432689
thetao tropics 100m DJF 0.7431153035841588
thetao nino34 100m MAM 0.7320856732088993
thetao nino34 100m JJA 0.7714585659985912
thetao nino34 100m SON 0.3991688403633817
thetao nino34 100m DJF 0.6123586161058019
thetao southmid 100m MAM 0.6680684977841079
thetao southmid 100m JJA 0.7553017390789455
thetao southmid 100m SON 0.8475301246192047
thetao southmid 100m DJF 0.7020990708284446
thetao antarctic 100m MAM 0.9489874968318555
thetao antarctic 100m JJA 1.1676621960637301
thetao antarctic 100m SON 1.327110848941138
thetao antarctic 100m DJF 1.1063817090055112
thetao arctic 1000m MAM 0.07580706591208934
thetao arctic 1000m JJA 0.0734793099336794
thetao arctic 1000m SON 0.07423193220627355
thetao arctic 1000m DJF 0.07664268356755655
thetao northmid 1000m MAM 0.10455412574953465
thetao northmid 1000m JJA 0.10798280017639122
thetao northmid 1000m SON 0.11241060050154365
thetao northmid 1000m DJF 0.10256357361284366
thetao tropics 1000m MAM 0.07302505519476486
thetao tropics 1000m JJA 0.0752447252725722
thetao tropics 1000m SON 0.07828667683603337
thetao tropics 1000m DJF 0.07297918936362584
thetao nino34 1000m MAM 0.05024218277589727
thetao nino34 1000m JJA 0.04855903631871541
thetao nino34 1000m SON 0.04339601714460131
thetao nino34 1000m DJF 0.05661722210036877
thetao southmid 1000m MAM 0.19451807152272801
thetao southmid 1000m JJA 0.205977762200245
thetao southmid 1000m SON 0.21627507707153798
thetao southmid 1000m DJF 0.1886297683985725
thetao antarctic 1000m MAM 0.18229197731719174
thetao antarctic 1000m JJA 0.17903274940429045
thetao antarctic 1000m SON 0.1923482858569112
thetao antarctic 1000m DJF 0.17436831104766548
so arctic 10m MAM 0.9569333996598988
so arctic 10m JJA 0.7659451434696238
so arctic 10m SON 0.704808297451601
so arctic 10m DJF 0.9279958029618384
so northmid 10m MAM 0.6566081465519211
so northmid 10m JJA 0.77895345411357
so northmid 10m SON 0.8326961747550584
so northmid 10m DJF 0.6393441638782088
so tropics 10m MAM 0.8399652814499481
so tropics 10m JJA 0.7975765538373307
so tropics 10m SON 0.7239214472969161
so tropics 10m DJF 0.7106334816907396
so nino34 10m MAM 0.411523810922568
so nino34 10m JJA 0.45852943154335035
so nino34 10m SON 0.7733457171382876
so nino34 10m DJF 0.508045575050565
so southmid 10m MAM 0.7235680388232736
so southmid 10m JJA 0.6953918729291858
so southmid 10m SON 0.6653615731724491
so southmid 10m DJF 0.6634620066587951
so antarctic 10m MAM 0.6230450712167366
so antarctic 10m JJA 0.6139814372975438
so antarctic 10m SON 0.647239218028216
so antarctic 10m DJF 0.4642849917333782
so arctic 100m MAM 0.3249635332560823
so arctic 100m JJA 0.3509906818038632
so arctic 100m SON 0.4131744321365745
so arctic 100m DJF 0.35084331225427506
so northmid 100m MAM 0.5050679053884969
so northmid 100m JJA 0.5014571950973369
so northmid 100m SON 0.5073698275710938
so northmid 100m DJF 0.4629600958741501
so tropics 100m MAM 0.3501145812215171
so tropics 100m JJA 0.3973305249106443
so tropics 100m SON 0.41666787840917624
so tropics 100m DJF 0.3253007577989007
so nino34 100m MAM 0.18103090516536308
so nino34 100m JJA 0.1595676836486466
