lon,lat,ifs_index,status
-75.000000,82.751720,263,ok
-67.500000,82.751720,264,ok
-37.500000,82.751720,268,ok
-30.000000,82.751720,269,ok
-22.500000,82.751720,270,ok
-90.000000,81.816840,312,ok
-83.076930,81.816840,313,ok
-76.153840,81.816840,314,ok
-69.230770,81.816840,315,ok
-55.384610,81.816840,317,ok
-48.461550,81.816840,318,ok
-41.538450,81.816840,319,ok
-34.615390,81.816840,320,ok
-27.692320,81.816840,321,ok
57.857140,80.881910,334,ok
64.285710,80.881910,335,ok
96.428570,80.881910,340,ok
-83.571440,80.881910,368,ok
-77.142850,80.881910,369,ok
-70.714290,80.881910,370,ok
-64.285710,80.881910,371,ok
-57.857150,80.881910,372,ok
-51.428560,80.881910,373,ok
-45.000000,80.881910,374,ok
-38.571440,80.881910,375,ok
-32.142850,80.881910,376,ok
-25.714290,80.881910,377,ok
-19.285710,80.881910,378,ok
24.000000,79.946960,385,ok
96.000000,79.946960,397,ok
-90.000000,79.946960,426,ok
-84.000000,79.946960,427,ok
-78.000000,79.946960,428,ok
-72.000000,79.946960,429,ok
-60.000000,79.946960,431,ok
-54.000000,79.946960,432,ok
-48.000000,79.946960,433,ok
-42.000000,79.946960,434,ok
-36.000000,79.946960,435,ok
-30.000000,79.946960,436,ok
-24.000000,79.946960,437,ok
-18.000000,79.946960,438,ok
16.875000,79.011990,444,ok
101.250000,79.011990,459,unreached
-90.000000,79.011990,489,ok
-84.375000,79.011990,490,ok
-78.750000,79.011990,491,ok
-61.875000,79.011990,494,ok
-56.250000,79.011990,495,ok
-50.625000,79.011990,496,ok
-45.000000,79.011990,497,ok
-39.375000,79.011990,498,ok
-33.750000,79.011990,499,ok
-28.125000,79.011990,500,ok
-22.500000,79.011990,501,ok
15.882350,78.077000,508,ok
-84.705870,78.077000,557,ok
-79.411770,78.077000,558,ok
-68.823520,78.077000,560,ok
-63.529420,78.077000,561,ok
-58.235290,78.077000,562,ok
-52.941160,78.077000,563,ok
-47.647060,78.077000,564,ok
-42.352940,78.077000,565,ok
-37.058840,78.077000,566,ok
-31.764710,78.077000,567,ok
-26.470580,78.077000,568,ok
105.000000,77.142010,594,ok
-85.000000,77.142010,628,ok
-80.000000,77.142010,629,ok
-70.000000,77.142010,631,ok
-65.000000,77.142010,632,ok
-60.000000,77.142010,633,ok
-55.000000,77.142010,634,ok
-50.000000,77.142010,635,ok
-45.000000,77.142010,636,ok
-40.000000,77.142010,637,ok
-35.000000,77.142010,638,ok
-30.000000,77.142010,639,ok
-25.000000,77.142010,640,ok
-20.000000,77.142010,641,ok
61.578950,76.207010,658,unreached
66.315790,76.207010,659,ok
104.210530,76.207010,667,ok
108.947360,76.207010,668,ok
-108.947370,76.207010,698,ok
-99.473690,76.207010,700,ok
-90.000000,76.207010,702,ok
-56.842100,76.207010,709,ok
-52.105260,76.207010,710,ok
-47.368410,76.207010,711,ok
-42.631590,76.207010,712,ok
-37.894740,76.207010,713,ok
-33.157900,76.207010,714,ok
-28.421050,76.207010,715,ok
-23.684200,76.207010,716,ok
58.500000,75.272000,734,ok
90.000000,75.272000,741,ok
94.500000,75.272000,742,ok
99.000000,75.272000,743,ok
103.500000,75.272000,744,ok
108.000000,75.272000,745,ok
112.500000,75.272000,746,ok
139.500000,75.272000,752,ok
144.000000,75.272000,753,ok
-117.000000,75.272000,775,ok
-112.500000,75.272000,776,ok
-108.000000,75.272000,777,ok
-99.000000,75.272000,779,ok
-94.500000,75.272000,780,ok
-90.000000,75.272000,781,ok
-85.500000,75.272000,782,ok
-81.000000,75.272000,783,ok
-54.000000,75.272000,789,ok
-49.500000,75.272000,790,ok
-45.000000,75.272000,791,ok
-40.500000,75.272000,792,ok
-36.000000,75.272000,793,ok
-31.500000,75.272000,794,ok
-27.000000,75.272000,795,ok
-22.500000,75.272000,796,ok
55.714290,74.336980,814,ok
90.000000,74.336980,822,ok
94.285710,74.336980,823,ok
98.571430,74.336980,824,ok
102.857140,74.336980,825,ok
107.142860,74.336980,826,ok
-55.714290,74.336980,872,ok
-51.428560,74.336980,873,ok
-47.142850,74.336980,874,ok
-42.857150,74.336980,875,ok
-38.571440,74.336980,876,ok
-34.285710,74.336980,877,ok
-30.000000,74.336980,878,ok
-25.714290,74.336980,879,ok
81.818180,73.401950,905,ok
85.909090,73.401950,906,ok
90.000000,73.401950,907,ok
94.090910,73.401950,908,ok
98.181820,73.401950,909,ok
102.272730,73.401950,910,ok
106.363640,73.401950,911,ok
110.454540,73.401950,912,ok
114.545460,73.401950,913,ok
143.181820,73.401950,920,ok
-122.727280,73.401950,943,ok
-118.636370,73.401950,944,ok
-98.181820,73.401950,949,ok
-94.090910,73.401950,950,ok
-81.818180,73.401950,953,ok
-77.727260,73.401950,954,ok
-53.181820,73.401950,960,ok
-49.090910,73.401950,961,ok
-45.000000,73.401950,962,ok
-40.909090,73.401950,963,ok
-36.818180,73.401950,964,ok
-32.727260,73.401950,965,ok
-28.636350,73.401950,966,ok
54.782610,72.466920,987,ok
70.434780,72.466920,991,ok
82.173910,72.466920,994,ok
86.086960,72.466920,995,ok
90.000000,72.466920,996,ok
93.913040,72.466920,997,ok
97.826090,72.466920,998,ok
101.739130,72.466920,999,ok
105.652180,72.466920,1000,ok
109.565220,72.466920,1001,ok
113.478260,72.466920,1002,ok
117.391300,72.466920,1003,ok
121.304340,72.466920,1004,ok
125.217390,72.466920,1005,ok
144.782610,72.466920,1010,ok
-121.304350,72.466920,1034,ok
-117.391310,72.466920,1035,ok
-113.478260,72.466920,1036,ok
-109.565220,72.466920,1037,ok
-105.652180,72.466920,1038,ok
-101.739140,72.466920,1039,ok
-97.826080,72.466920,1040,ok
-93.913060,72.466920,1041,ok
-82.173920,72.466920,1044,ok
-54.782620,72.466920,1051,ok
-50.869570,72.466920,1052,ok
-46.956510,72.466920,1053,ok
-43.043490,72.466920,1054,ok
-39.130430,72.466920,1055,ok
-35.217380,72.466920,1056,ok
-31.304350,72.466920,1057,ok
-27.391300,72.466920,1058,ok
-23.478270,72.466920,1059,ok
71.250000,71.531890,1084,ok
75.000000,71.531890,1085,ok
78.750000,71.531890,1086,ok
82.500000,71.531890,1087,ok
86.250000,71.531890,1088,ok
90.000000,71.531890,1089,ok
93.750000,71.531890,1090,ok
97.500000,71.531890,1091,ok
101.250000,71.531890,1092,ok
105.000000,71.531890,1093,ok
108.750000,71.531890,1094,ok
112.500000,71.531890,1095,ok
116.250000,71.531890,1096,ok
120.000000,71.531890,1097,ok
123.750000,71.531890,1098,ok
127.500000,71.531890,1099,ok
138.750000,71.531890,1102,unreached
142.500000,71.531890,1103,ok
146.250000,71.531890,1104,ok
-116.250000,71.531890,1130,ok
-112.500000,71.531890,1131,ok
-108.750000,71.531890,1132,ok
-105.000000,71.531890,1133,ok
-86.250000,71.531890,1138,ok
-82.500000,71.531890,1139,ok
-78.750000,71.531890,1140,ok
-75.000000,71.531890,1141,ok
-48.750000,71.531890,1148,ok
-45.000000,71.531890,1149,ok
-41.250000,71.531890,1150,ok
-37.500000,71.531890,1151,ok
-33.750000,71.531890,1152,ok
-30.000000,71.531890,1153,ok
-26.250000,71.531890,1154,ok
-22.500000,71.531890,1155,ok
28.800000,70.596860,1169,ok
68.400000,70.596860,1180,ok
72.000000,70.596860,1181,ok
75.600000,70.596860,1182,ok
79.200000,70.596860,1183,ok
82.800000,70.596860,1184,ok
86.400000,70.596860,1185,ok
90.000000,70.596860,1186,ok
93.600000,70.596860,1187,ok
97.200000,70.596860,1188,ok
100.800000,70.596860,1189,ok
104.400000,70.596860,1190,ok
108.000000,70.596860,1191,ok
111.600000,70.596860,1192,ok
115.200000,70.596860,1193,ok
118.800000,70.596860,1194,ok
122.400000,70.596860,1195,ok
126.000000,70.596860,1196,ok
129.600010,70.596860,1197,ok
133.200000,70.596860,1198,ok
136.800000,70.596860,1199,ok
140.399990,70.596860,1200,ok
144.000000,70.596860,1201,ok
147.600010,70.596860,1202,ok
151.200000,70.596860,1203,ok
154.800000,70.596860,1204,ok
158.399990,70.596860,1205,ok
-158.399990,70.596860,1217,ok
-154.800000,70.596860,1218,ok
-111.600010,70.596860,1230,ok
-108.000000,70.596860,1231,ok
-104.399990,70.596860,1232,ok
-93.600010,70.596860,1235,ok
-86.399990,70.596860,1237,ok
-82.799990,70.596860,1238,ok
-79.200010,70.596860,1239,ok
-75.600010,70.596860,1240,ok
-72.000000,70.596860,1241,ok
-54.000000,70.596860,1246,ok
-50.399990,70.596860,1247,ok
-46.799990,70.596860,1248,ok
-43.200010,70.596860,1249,ok
-39.600010,70.596860,1250,ok
-36.000000,70.596860,1251,ok
-32.399990,70.596860,1252,ok
-28.799990,70.596860,1253,ok
20.769230,69.661820,1267,ok
24.230770,69.661820,1268,ok
27.692310,69.661820,1269,ok
31.153850,69.661820,1270,ok
62.307690,69.661820,1279,ok
69.230770,69.661820,1281,ok
76.153850,69.661820,1283,ok
79.615390,69.661820,1284,ok
83.076920,69.661820,1285,ok
86.538460,69.661820,1286,ok
90.000000,69.661820,1287,ok
93.461540,69.661820,1288,ok
96.923080,69.661820,1289,ok
100.384610,69.661820,1290,ok
103.846150,69.661820,1291,ok
107.307690,69.661820,1292,ok
110.769230,69.661820,1293,ok
114.230770,69.661820,1294,ok
117.692310,69.661820,1295,ok
